[01:49:28] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[01:49:28] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[01:49:28] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/turbo-guide/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[01:49:34] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:49:35] [main/INFO]: Loaded 7 recipes
[01:49:36] [main/INFO]: Loaded 1271 advancements
[01:49:36] [Server thread/INFO]: Starting minecraft server version 1.20.1
[01:49:36] [Server thread/INFO]: Loading properties
[01:49:36] [Server thread/INFO]: Default game type: SURVIVAL
[01:49:36] [Server thread/INFO]: Generating keypair
[01:49:36] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:49:36] [Server thread/INFO]: Using epoll channel type
[01:49:37] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[01:49:37] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[01:49:37] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[01:49:37] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[01:49:37] [Server thread/INFO]: Preparing level "world"
[01:49:43] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:49:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:49:44] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[01:49:44] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[01:49:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[01:49:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:49:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:49:46] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[01:49:47] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[01:49:47] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:49:48] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[01:49:48] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[01:49:49] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[01:49:49] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[01:49:50] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[01:49:50] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[01:49:51] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[01:49:51] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[01:49:52] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[01:49:52] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[01:49:53] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[01:49:53] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[01:49:54] [Worker-Main-3/INFO]: Preparing spawn area: 23%
[01:49:54] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[01:49:55] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[01:49:55] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[01:49:56] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[01:49:56] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[01:49:57] [Worker-Main-3/INFO]: Preparing spawn area: 35%
[01:49:57] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[01:49:58] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[01:49:58] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[01:49:59] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[01:49:59] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[01:50:00] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[01:50:00] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[01:50:01] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[01:50:01] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[01:50:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[01:50:02] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[01:50:03] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[01:50:03] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[01:50:04] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[01:50:04] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[01:50:05] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[01:50:05] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:50:06] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[01:50:06] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[01:50:07] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[01:50:07] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[01:50:08] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[01:50:08] [Server thread/INFO]: Time elapsed: 24698 ms
[01:50:08] [Server thread/INFO]: Done (31.173s)! For help, type "help"
[01:50:08] [Server thread/INFO]: Unknown or incomplete command, see below for error
[01:50:08] [Server thread/INFO]: home/codespace/.python/current/bin/python /workspaces/turbo-guide/msx.py<--[HERE]
